GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
8225362,Wilson,Luccas Claro,Cesar Benitez,Juninho,Juan,Dodô,Raphael Veiga,João Paulo,Edinho,Neto Berola,Kléber Gladiador,Vanderlei,Luiz Felipe,Caju,Victor Ferraz,Gustavo Henrique,Renato,Lucas Lima,Vitor Bueno,Léo Cittadini,Ricardo Oliveira,Jonathan Copete,Amaral,Nery Bareiro,Bernardo,Fábio,Bruno Brigido,Iago Dias,Evandro,Kady,Thiago Lopes,Yan Sasse,Vinícius,None,David Braz,Elano,Rodrigão,Daniel Guedes,Jean Mota,Joel Tagueu,Rafael Longuine,Emiliano Vecchio,Lucas Veríssimo,Vladimir,Yuri Oliveira,Matheus
8225363,Thiago Rodrigues,Marquinhos,Pará,Ayrton,Bruno Alves,Ferrugem,Jackson,Carlos Alberto,Yago,Dodô,Rafael Moura,Lucas França,Bruno Rodrigo,Lucas,Manoel,Edimar,Henrique,Giorgian de Arrascaeta,Robinho,Lucas Romero,Rafael Sóbis,Ramón Ábila,Alisson,Elicarlos,Élvis,Gustavo Ermel,Roberto Fernández,Jefferson,Lins,Maurides,Guilherme Morassi,Werley,None,None,Fabricio Bruno,Bryan Garcia,Elisson,Ezequiel,Federico Acevedo,Léo,Marciel,Rafinha,Bruno Ramires,Bruno Viana,Marcos Vinicius,Willian
8225358,Cássio,Yago,Fabián Balbuena,Uendel,Fágner,Elías,Bruno Henrique,Rodriguinho,Marquinhos Gabriel,Guilherme,Ángel Romero,Fernando Miguel,Diogo Mateus,Victor Ramos,Kanu,Diego Renan,Willian Farias,Sherman Cardenas,Vander,Marcelo,Marinho,Kieza,Guilherme Arana,Giovanni Augusto,Marlone,Cristian Baroni,Camacho,Pedro Henrique,Isaac,Lucca,Bruno Paulo,Léo Príncipe,Vílson,Walter,Alípio,Caíque,Euller,Flávio,José Welison,Rodrigo Ramallo,Ramon,Tiago Real,Serginho,None,None,None
8225374,Aranha,Douglas Grolli,Reinaldo,Nino Paraíba,Fábio Ferreira,Abuda,Thiago Galhardo,Wendel,Rhayner,Clayson,Roger,Cássio,Yago,Fabián Balbuena,Uendel,Fágner,Elías,Cristian Baroni,Rodriguinho,Marquinhos Gabriel,Marlone,Guilherme,Antônio Carlos,João Carlos,Léo Cereja,Jeferson,Matheus Jesus,Kadu,Breno Lopes,William Pottker,Ravanelli,Renê Júnior,Wellington Paulista,None,Guilherme Arana,Giovanni Augusto,Camacho,Danilo,Pedro Henrique,Lucca,Bruno Paulo,Léo Príncipe,Ángel Romero,Matheus Vidotto,Vílson,Walter
8225369,Vanderlei,Luiz Felipe,Victor Ferraz,David Braz,Zeca,Renato,Lucas Lima,Vitor Bueno,Thiago Maia,Ricardo Oliveira,Jonathan Copete,Roberto Fernández,Marquinhos,Werley,Marcos Pedroso,Ayrton,Ferrugem,Jackson,Elicarlos,Dodô,Rafael Moura,Lins,Caju,Léo Cittadini,Elano,Rodrigão,Daniel Guedes,Jean Mota,Rafael Longuine,Emiliano Vecchio,Lucas Veríssimo,Vladimir,Yuri Oliveira,Gabriel Barbosa,Bruno Alves,Bady,Élvis,Gustavo Ermel,Jefferson,Maurides,Guilherme Morassi,Michael Ortega,Renato Augusto,Thiago Rodrigues,None,None
8225370,Rafael,Bruno Rodrigo,Lucas,Manoel,Edimar,Ariel Cabral,Giorgian de Arrascaeta,Robinho,Lucas Romero,Rafael Sóbis,Ramón Ábila,Tiago Cardoso,Leó Moura,Danny Morais,Allan Vieira,Luan Peres,João Paulo,Uillian Correia,Derley,Grafite,Keno,Matiás Pisano,Alisson,Bryan Garcia,Denilson,Elisson,Ezequiel,Lucas França,Léo,Rafinha,Bruno Ramires,Bruno Viana,Marcos Vinicius,Willian,Arthur,Jadson,Edson,Mario Sérgio,Marion,Danilo Pires,Renatinho,Wallyson,Wellington,None,None,None
8225367,Diego Cavalieri,Gum,Wellington Silva,William Matheus,Henrique,Cícero,Douglas,Wellington Silva,Marcos Júnior,Gustavo Scarpa,Henrique Dourado,Jaílson Santos,Vitor Hugo,Jean,Yerry Mina,Zé Roberto,Gabriel,Moisés Mineiro,Tchê Tchê,Dudu,Erik,Gabriel Jesus,Magno Alves,Claudio Aquino,Júlio César,Renato Chaves,Dudu,Giovanni,Igor Julião,Marquinho,Osvaldo,Pierre,Samuel Rosa,Danilinho,Agustin Allione,Arouca,Edu Dracena,Egídio,Fabrício,Roger Guedes,João Pedro,Thiago Martins,Leandro Pereira,Rafael Marques,Vinicius Silvestre,Cleiton Xavier
8225368,Dênis,Julio Buffarini,Lyanco,Eugenio Mena,Maicon,Michel Bastos,Christian Cueva,Thiago Mendes,Húdson,Kelvin,Andrés Chávez,Wilson,Luccas Claro,Cesar Benitez,Juninho,Juan,Dodô,Raphael Veiga,João Paulo,Edinho,Vinícius,Neto Berola,Luiz Araujo,Artur,Auro,Pedro Bortoluzo,Carlinhos,Daniel,Leo,Lucão Cavalcante,Diego Lugano,Matheus Reis,João Schmidt,Wesley,Amaral,Bernardo,Iago Dias,Icaro,Leandro,Thiago Lopes,Jorge Ortega,Rafael Martins,Walisson Maia,None,None,None
8225371,Marcelo Grohe,Walter Kannemann,Wallace Reis,Marcelo Oliveira,Edílson,Walace,Douglas,Maicon,Miller Bolaños,Jailson,Luan,Uilson Oliveira,Leonardo Silva,Carlos César,Ronaldo Conceiçao,Fábio Santos,Rafael Carioca,Leandro Donizete,Lucas Cândido,Maicosuel,Lucas Pratto,Fred,Arthur,Matheus Batista,Fred,Bruno Grassi,Henrique Almeida,Iago,Lincoln,Kaio,Ramiro,Rafael Thyere,Léo Tilica,Guilherme Augusto,Carlos Eduardo,Carlos,Clayton,Cleiton,Douglas Santos,Edcarlos,Gabriel França,Hyuri,Rómulo Otero,Ralph,Robinho,Yago Severin
8225373,Danilo,Gimenez,Dener,Thiego,Filipe Machado,Josimar,Gil,Hyoran,Cléber Santana,Kempes,Alejandro Martinuccio,Alex Muralha,Réver,Pará,Rafael Vaz,Willian Arão,Jorge,Márcio Araújo,Éverton,Diego,Paolo Guerrero,Gabriel,Rafael Bastos,Matheus Biteco,Marcelo Boeck,Mateus Caramelo,Follmann,Lucas Gomes,Arthur Maia,Sérgio Manoel,Bruno Rangel,Rafael Lima,None,None,Alan Patrick,Chiquinho,Marcelo Cirino,Gustavo Cuéllar,Alejandro Donatti,Fernandinho Silva,Juan,Leandro Damião,Federico Mancuello,Paulo Victor,Rodinei,Felipe Vizeu
8225366,Fernando Miguel,Diogo Mateus,Victor Ramos,Ramon,Diego Renan,Willian Farias,Sherman Cardenas,Vander,Marcelo,Kieza,Rodrigo Ramallo,João Ricardo,Sueliton,Jonas,Alison,Gilson,Pablo Barros,Osman Júnior,Leandro Guerreiro,Juninho,Matheusinho,Michael,Alípio,Bruno,Caíque,David,Euller,Flávio,José Welison,Nickson,Tiago Real,Serginho,None,None,Claudinei,Danilo Barcelos,Diego Lopes,Fernando Leal,Éder Lima,Eisner Loboa,Nilson,Nixon,Christian Sávio,None,None,None
