GameID,Minute,PlayerIn,PlayerOut,Team
1441066,46,Leandro Barrera,Franco Canever,Argentinos Juniors
1441066,46,Leonel Núñez,Leandro Caruso,Argentinos Juniors
1441066,88,Gustavo Oberman,Marcos Figueroa,Argentinos Juniors
1441073,25,Gabriel Heinze,Victor Figueroa,Newells Old Boys
1441073,68,Ignacio Scocco,Martín Tonso,Newells Old Boys
1441073,78,Milton Casco,Mauricio Sperdutti,Newells Old Boys
1441073,46,Sebastian Penco,Reinaldo Alderete,San Martín de San Juan
1441073,46,Lucas Salas,Damian Canuto,San Martín de San Juan
1441073,75,Jorge Luna,Matías Rudler,San Martín de San Juan
1441081,76,Patricio Toranzo,Iván Borghello,All Boys
1441081,76,Ángel Vildozo,Martín Morel,All Boys
1441081,70,Rubén Botta,Ezequiel Maggiolo,Tigre
1441081,70,Agustin Torassa,Matías Pérez García,Tigre
1441081,82,Matías Escobar,Diego Ferreira,Tigre
1441082,46,Pablo Miguez,Diego Galván,Unión de Santa Fe
1441082,64,Andrés Franzoia,Diego Jara,Unión de Santa Fe
1441082,68,Maximiliano Lugo,Brahian Alemán,Unión de Santa Fe
1441082,72,Cristian Álvarez,Fernando Evangelista,Boca Juniors
1441082,82,Orlando Gaona,Cristian Erbes,Boca Juniors
1441082,90,Pol Fernández,Lautaro Acosta,Boca Juniors
1441074,66,Leandro Caruso,Leonel Núñez,Argentinos Juniors
1441074,77,Gustavo Oberman,Leandro Barrera,Argentinos Juniors
1441074,81,Sebastián Navarro,Santiago Nagüel,Argentinos Juniors
1441074,62,Washington Camacho,Gonzalo Castellani,Godoy Cruz
1441074,70,Diego Sevillano,Emanuel Insúa,Godoy Cruz
1441074,76,Federico Lértora,Facundo Castillón,Godoy Cruz
1441075,46,Fabián Monserrat,Roberto Battión,Independiente
1441075,67,Luciano Leguizamón,Osmar Ferreyra,Independiente
1441075,74,Francisco Pizzini,Paulo Rosales,Independiente
1441075,67,Darío Benedetto,Pablo Lugüercio,Arsenal de Sarandí
1441075,74,Diego Torres,Nicolás Aguirre,Arsenal de Sarandí
1441075,87,Gonzalo Espinoza,Carlos Carbonero,Arsenal de Sarandí
1441083,48,Matías Fissore,Iván Juárez,Atlético Rafaela
1441083,69,Germán Rodríguez Rojas,Sébastien Grazzini,Atlético Rafaela
1441083,87,Martín Zbrun,Sebastián Carrera,Atlético Rafaela
1441083,59,Jacobo Mansilla,Ismael Quílez,Quilmes
1441083,68,Sebastián Romero,Juan Cobo,Quilmes
1441083,75,Cristian Insaurralde,Leandro Díaz,Quilmes
1441078,22,Lucas Pittinari,Esteban González,Belgrano de Córdoba
1441078,79,Fernando Márquez,Lucas Melano,Belgrano de Córdoba
1441078,81,César Mansanelli,Martín Zapata,Belgrano de Córdoba
1441078,38,Milton Casco,Marcos Cáceres,Newells Old Boys
1441078,62,Ignacio Scocco,Mauricio Sperdutti,Newells Old Boys
1441078,74,Martín Tonso,Victor Figueroa,Newells Old Boys
1441076,83,Diego Valeri,Mauricio Pereyra,Lanús
1441076,90,Carlos Izquierdoz,Óscar Benítez,Lanús
1441076,90,Bruno Vides,Paolo Goltz,Lanús
1441076,51,Luis Fariña,Martín Pérez Guedes,Racing Club
1441076,78,Bruno Zuculini,Ricardo Centurión,Racing Club
1441077,46,Claudio Riaño,Reinaldo Alderete,San Martín de San Juan
1441077,58,Maximiliano Bustos,Jorge Luna,San Martín de San Juan
1441077,58,Federico Poggi,Leandro Velàzquez,San Martín de San Juan
1441077,69,Agustin Allione,Emiliano Papa,Vélez Sarsfield
1441077,69,Iván Bella,Gino Peruzzi,Vélez Sarsfield
1441077,77,Facundo Ferreyra,Federico Insúa,Vélez Sarsfield
