GameID,League,Season,Date,HomeTeam,AwayTeam,Result
8467620,argprimeradivision,2017-2018,29.10.2017,Newells Old Boys,Chacarita Juniors,2:1
8467621,argprimeradivision,2017-2018,29.10.2017,Gimnasia de La Plata,Vélez Sarsfield,4:0
8467622,argprimeradivision,2017-2018,29.10.2017,Temperley,San Lorenzo,0:2
8467623,argprimeradivision,2017-2018,29.10.2017,Boca Juniors,Belgrano de Córdoba,4:0
8467618,argprimeradivision,2017-2018,30.10.2017,Independiente,Patronato de Paraná,1:1
8467625,argprimeradivision,2017-2018,30.10.2017,Defensa y Justicia,Olimpo de Bahía Blanca,1:1
8467626,argprimeradivision,2017-2018,31.10.2017,Tigre,Rosario Central,1:1
8468169,argprimeradivision,2017-2018,03.11.2017,Chacarita Juniors,Gimnasia de La Plata,2:0
8468170,argprimeradivision,2017-2018,04.11.2017,Godoy Cruz,Huracán,2:1
8468171,argprimeradivision,2017-2018,04.11.2017,Colón de Santa Fe,San Martín de San Juan,3:3
8468172,argprimeradivision,2017-2018,04.11.2017,Lanús,Olimpo de Bahía Blanca,0:2
8468173,argprimeradivision,2017-2018,04.11.2017,San Lorenzo,Banfield,0:1
8468178,argprimeradivision,2017-2018,04.11.2017,Rosario Central,Atlético Tucumán,0:1
8468175,argprimeradivision,2017-2018,05.11.2017,Racing Club,Talleres de Córdoba,1:1
8468176,argprimeradivision,2017-2018,05.11.2017,Temperley,Defensa y Justicia,1:4
8468174,argprimeradivision,2017-2018,05.11.2017,Belgrano de Córdoba,Independiente,0:0
8468177,argprimeradivision,2017-2018,05.11.2017,Estudiantes,Argentinos Juniors,1:0
8468179,argprimeradivision,2017-2018,05.11.2017,River Plate,Boca Juniors,1:2
8468180,argprimeradivision,2017-2018,06.11.2017,Arsenal de Sarandí,Tigre,0:0
8468181,argprimeradivision,2017-2018,06.11.2017,Patronato de Paraná,Newells Old Boys,0:0
8468182,argprimeradivision,2017-2018,07.11.2017,Vélez Sarsfield,Unión de Santa Fe,0:2
8468183,argprimeradivision,2017-2018,17.11.2017,Argentinos Juniors,Colón de Santa Fe,0:1
8468184,argprimeradivision,2017-2018,17.11.2017,Atlético Tucumán,Arsenal de Sarandí,0:0
8468185,argprimeradivision,2017-2018,18.11.2017,Newells Old Boys,Belgrano de Córdoba,0:1
8468186,argprimeradivision,2017-2018,18.11.2017,Defensa y Justicia,Lanús,3:0
8468187,argprimeradivision,2017-2018,18.11.2017,Banfield,Temperley,0:0
8468188,argprimeradivision,2017-2018,18.11.2017,San Martín de San Juan,San Lorenzo,1:3
8468193,argprimeradivision,2017-2018,19.11.2017,Independiente,River Plate,1:0
8468190,argprimeradivision,2017-2018,19.11.2017,Unión de Santa Fe,Chacarita Juniors,0:0
8468191,argprimeradivision,2017-2018,19.11.2017,Tigre,Estudiantes,2:0
8468192,argprimeradivision,2017-2018,19.11.2017,Boca Juniors,Racing Club,1:2
8468196,argprimeradivision,2017-2018,20.11.2017,Talleres de Córdoba,Rosario Central,0:1
8468194,argprimeradivision,2017-2018,20.11.2017,Gimnasia de La Plata,Patronato de Paraná,2:0
8468195,argprimeradivision,2017-2018,20.11.2017,Olimpo de Bahía Blanca,Godoy Cruz,1:1
8468189,argprimeradivision,2017-2018,21.11.2017,Huracán,Vélez Sarsfield,1:0
8468197,argprimeradivision,2017-2018,24.11.2017,Banfield,Defensa y Justicia,0:1
8468198,argprimeradivision,2017-2018,24.11.2017,Chacarita Juniors,Huracán,0:2
8468199,argprimeradivision,2017-2018,25.11.2017,Colón de Santa Fe,Tigre,3:1
8468200,argprimeradivision,2017-2018,25.11.2017,Belgrano de Córdoba,Gimnasia de La Plata,2:0
8468201,argprimeradivision,2017-2018,25.11.2017,Patronato de Paraná,Unión de Santa Fe,2:3
8468202,argprimeradivision,2017-2018,25.11.2017,San Lorenzo,Argentinos Juniors,1:0
8468203,argprimeradivision,2017-2018,26.11.2017,Racing Club,Independiente,0:1
8468204,argprimeradivision,2017-2018,26.11.2017,Estudiantes,Atlético Tucumán,1:0
8468206,argprimeradivision,2017-2018,26.11.2017,River Plate,Newells Old Boys,1:3
8468207,argprimeradivision,2017-2018,27.11.2017,Rosario Central,Boca Juniors,1:0
8468208,argprimeradivision,2017-2018,27.11.2017,Arsenal de Sarandí,Talleres de Córdoba,0:1
8468209,argprimeradivision,2017-2018,27.11.2017,Vélez Sarsfield,Olimpo de Bahía Blanca,3:0
8468210,argprimeradivision,2017-2018,28.11.2017,Temperley,San Martín de San Juan,1:0
8468205,argprimeradivision,2017-2018,08.02.2018,Godoy Cruz,Lanús,4:1
8468211,argprimeradivision,2017-2018,01.12.2017,Unión de Santa Fe,Belgrano de Córdoba,1:1
8468212,argprimeradivision,2017-2018,01.12.2017,Defensa y Justicia,Godoy Cruz,3:2
8468213,argprimeradivision,2017-2018,02.12.2017,Huracán,Patronato de Paraná,1:1
8468214,argprimeradivision,2017-2018,02.12.2017,Olimpo de Bahía Blanca,Chacarita Juniors,2:0
8468215,argprimeradivision,2017-2018,02.12.2017,Argentinos Juniors,Temperley,2:2
8468217,argprimeradivision,2017-2018,03.12.2017,Newells Old Boys,Racing Club,2:2
