1466114400.0,Gianluigi Buffon,Giorgio Chiellini,Andrea Barzagli,Leonardo Bonucci,Antonio Candreva,Alessandro Florenzi,Daniele De Rossi,Marco Parolo,Emanuele Giaccherini,Graziano Pellè,Éder,Andreas Isaksson,Erik Johansson,Andreas Granqvist,Martin Olsson,Victor Lindelöf,Emil Forsberg,Sebastian Larsson,Albin Ekdal,Kim Källström,Zlatan Ibrahimović,John Guidetti,1
1466200800.0,Thibaut Courtois,Toby Alderweireld,Thomas Vermaelen,Jan Vertonghen,Thomas Meunier,Axel Witsel,Kevin De Bruyne,Yannick Ferreira-Carrasco,Mousa Dembélé,Romelu Lukaku,Eden Hazard,Darren Randolph,Séamus Coleman,Ciaran Clark,John OShea,Stephen Ward,Robbie Brady,Glenn Whelan,James McCarthy,Jeff Hendrick,Wes Hoolahan,Shane Long,1
1466546400.0,Andreas Isaksson,Erik Johansson,Andreas Granqvist,Martin Olsson,Victor Lindelöf,Emil Forsberg,Sebastian Larsson,Albin Ekdal,Kim Källström,Zlatan Ibrahimović,Marcus Berg,Thibaut Courtois,Toby Alderweireld,Thomas Vermaelen,Jan Vertonghen,Thomas Meunier,Radja Nainggolan,Axel Witsel,Kevin De Bruyne,Yannick Ferreira-Carrasco,Romelu Lukaku,Eden Hazard,2
1465855200.0,Rui Patrício,Pepe,Raphaël Guerreiro,Ricardo Carvalho,Vieirinha,João Moutinho,João Mário,Danilo,André Gomes,Cristiano Ronaldo,Nani,Hannes Halldórsson,Birkir Sævarsson,Ragnar Sigurðsson,Kári Árnason,Ari Skúlason,Jóhann Guðmundsson,Birkir Bjarnason,Gylfi Sigurðsson,Aron Gunnarsson,Kolbeinn Sigþórsson,Jón Böðvarsson,0
1466200800.0,Hannes Halldórsson,Birkir Sævarsson,Ragnar Sigurðsson,Kári Árnason,Ari Skúlason,Jóhann Guðmundsson,Birkir Bjarnason,Gylfi Sigurðsson,Aron Gunnarsson,Kolbeinn Sigþórsson,Jón Böðvarsson,Gábor Király,Ádám Lang,Tamás Kádár,Richárd Guzmics,Roland Juhász,Ádám Nagy,Zoltán Gera,László Kleinheisler,Zoltán Stieber,Balázs Dzsudzsák,Tamás Priskin,0
1466200800.0,Rui Patrício,Pepe,Raphaël Guerreiro,Ricardo Carvalho,Vieirinha,João Moutinho,William Carvalho,André Gomes,Cristiano Ronaldo,Nani,Ricardo Quaresma,Robert Almer,Martin Hinteregger,Christian Fuchs,Sebastian Prödl,Florian Klein,Stefan Ilsanker,Marko Arnautović,David Alaba,Martin Harnik,Julian Baumgartlinger,Marcel Sabitzer,0
1466546400.0,Gábor Király,Ádám Lang,Mihály Korhut,Richárd Guzmics,Roland Juhász,Ákos Elek,Zoltán Gera,Gergő Lovrencsics,Ádám Pintér,Balázs Dzsudzsák,Ádám Szalai,Rui Patrício,Pepe,Ricardo Carvalho,Vieirinha,Eliseu,João Moutinho,João Mário,William Carvalho,André Gomes,Cristiano Ronaldo,Nani,0
1466546400.0,Hannes Halldórsson,Birkir Sævarsson,Ragnar Sigurðsson,Kári Árnason,Ari Skúlason,Jóhann Guðmundsson,Birkir Bjarnason,Gylfi Sigurðsson,Aron Gunnarsson,Kolbeinn Sigþórsson,Jón Böðvarsson,Robert Almer,Aleksandar Dragović,Martin Hinteregger,Christian Fuchs,Sebastian Prödl,Florian Klein,Stefan Ilsanker,Marko Arnautović,David Alaba,Julian Baumgartlinger,Marcel Sabitzer,1
1467756000.0,Rui Patrício,Bruno Alves,José Fonte,Raphaël Guerreiro,Cédric Soares,João Mário,Danilo,Renato Sanches,Adrien Silva,Cristiano Ronaldo,Nani,Wayne Hennessey,Chris Gunter,Neil Taylor,James Chester,Ashley Williams,James Collins,Joe Allen,Andy King,Joe Ledley,Hal Robson-Kanu,Gareth Bale,1
1467842400.0,Manuel Neuer,Jonas Hector,Benedikt Höwedes,Emre Can,Jérôme Boateng,Bastian Schweinsteiger,Mesut Özil,Julian Draxler,Toni Kroos,Joshua Kimmich,Thomas Müller,Hugo Lloris,Patrice Evra,Bacary Sagna,Laurent Koscielny,Samuel Umtiti,Dimitri Payet,Blaise Matuidi,Paul Pogba,Moussa Sissoko,Antoine Griezmann,Olivier Giroud,2
